timestamp,product,price
2026-03-01 10:24:34,Samsung S24,74999
2026-03-01 10:24:41,Pixel 9a,39999
2026-03-13 08:08:46,Samsung S24,74999
2026-03-13 08:08:53,Pixel 9a,39999
